"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"2","2.932113700","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=1/256, ttl=64 (reply in 3)"
"3","2.932402800","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=1/256, ttl=128 (request in 2)"
"4","3.222876200","192.168.79.131","20.59.87.227","TCP","55","62048  >  443 [ACK] Seq=1 Ack=1 Win=64071 Len=1"
"5","3.223746600","20.59.87.227","192.168.79.131","TCP","60","443  >  62048 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"6","3.933999000","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=2/512, ttl=64 (reply in 7)"
"7","3.934166600","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=2/512, ttl=128 (request in 6)"
"8","4.936043100","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=3/768, ttl=64 (reply in 9)"
"9","4.936241000","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=3/768, ttl=128 (request in 8)"
"10","5.938279100","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=4/1024, ttl=64 (reply in 11)"
"11","5.938416800","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=4/1024, ttl=128 (request in 10)"
"12","6.939626900","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=5/1280, ttl=64 (reply in 13)"
"13","6.939787800","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=5/1280, ttl=128 (request in 12)"
"14","7.691369400","VMware_db:f6:09","VMware_5f:8b:76","ARP","42","Who has 192.168.79.132? Tell 192.168.79.131"
"15","7.692345900","VMware_5f:8b:76","VMware_db:f6:09","ARP","60","192.168.79.132 is at 00:0c:29:5f:8b:76"
"16","7.941125700","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=6/1536, ttl=64 (reply in 17)"
"17","7.941296700","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=6/1536, ttl=128 (request in 16)"
"18","8.060101200","VMware_5f:8b:76","VMware_db:f6:09","ARP","60","Who has 192.168.79.131? Tell 192.168.79.132"
"19","8.060162700","VMware_db:f6:09","VMware_5f:8b:76","ARP","42","192.168.79.131 is at 00:0c:29:db:f6:09"
"20","8.942576100","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=7/1792, ttl=64 (reply in 21)"
"21","8.942781300","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=7/1792, ttl=128 (request in 20)"
"22","9.947837600","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=8/2048, ttl=64 (reply in 23)"
"23","9.947993500","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=8/2048, ttl=128 (request in 22)"
"24","10.949308100","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=9/2304, ttl=64 (reply in 25)"
"25","10.949500500","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=9/2304, ttl=128 (request in 24)"
"26","11.951444000","192.168.79.132","192.168.79.131","ICMP","98","Echo (ping) request  id=0x0005, seq=10/2560, ttl=64 (reply in 27)"
"27","11.951620800","192.168.79.131","192.168.79.132","ICMP","98","Echo (ping) reply    id=0x0005, seq=10/2560, ttl=128 (request in 26)"
