"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"2","2.293674200","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"3","2.604609500","VMware_5f:8b:76","Broadcast","ARP","60","Who has 192.168.79.131? Tell 192.168.79.132"
"4","2.604633800","VMware_db:f6:09","VMware_5f:8b:76","ARP","42","192.168.79.131 is at 00:0c:29:db:f6:09"
"5","2.668628400","192.168.79.132","192.168.79.2","DNS","87","Standard query 0xb28f PTR 131.79.168.192.in-addr.arpa"
"6","2.748584000","192.168.79.2","192.168.79.132","DNS","164","Standard query response 0xb28f No such name PTR 131.79.168.192.in-addr.arpa SOA prisoner.iana.org"
"7","2.764918800","192.168.79.132","192.168.79.131","TCP","60","62407  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","2.764918800","192.168.79.132","192.168.79.131","TCP","60","62407  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","2.765146400","192.168.79.132","192.168.79.131","TCP","60","62407  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","2.765146400","192.168.79.132","192.168.79.131","TCP","60","62407  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","2.765278900","192.168.79.132","192.168.79.131","TCP","60","62407  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","2.765407100","192.168.79.132","192.168.79.131","TCP","60","62407  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","2.765550100","192.168.79.132","192.168.79.131","TCP","60","62407  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","2.765645700","192.168.79.132","192.168.79.131","TCP","60","62407  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"15","2.765791000","192.168.79.132","192.168.79.131","TCP","60","62407  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","2.765922500","192.168.79.132","192.168.79.131","TCP","60","62407  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"17","3.793841000","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"18","3.866654800","192.168.79.132","192.168.79.131","TCP","60","62409  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"19","3.866654800","192.168.79.132","192.168.79.131","TCP","60","62409  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"20","3.866654800","192.168.79.132","192.168.79.131","TCP","60","62409  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"21","3.866654800","192.168.79.132","192.168.79.131","TCP","60","62409  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"22","3.866654800","192.168.79.132","192.168.79.131","TCP","60","62409  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"23","3.866771500","192.168.79.132","192.168.79.131","TCP","60","62409  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"24","3.867199000","192.168.79.132","192.168.79.131","TCP","60","62409  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"25","3.867199000","192.168.79.132","192.168.79.131","TCP","60","62409  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"26","3.867517300","192.168.79.132","192.168.79.131","TCP","60","62409  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"27","3.867517300","192.168.79.132","192.168.79.131","TCP","60","62409  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"28","3.967508700","192.168.79.132","192.168.79.131","TCP","60","62407  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"29","3.967508700","192.168.79.132","192.168.79.131","TCP","60","62407  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"30","3.968102000","192.168.79.132","192.168.79.131","TCP","60","62407  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"31","3.968102000","192.168.79.132","192.168.79.131","TCP","60","62407  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"32","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"33","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"34","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"35","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"36","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"37","3.970697200","192.168.79.132","192.168.79.131","TCP","60","62407  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"38","4.067443600","192.168.79.132","192.168.79.131","TCP","60","62409  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"39","4.069482600","192.168.79.132","192.168.79.131","TCP","60","62409  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","4.069482600","192.168.79.132","192.168.79.131","TCP","60","62409  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"41","4.069482600","192.168.79.132","192.168.79.131","TCP","60","62409  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"42","4.072194100","192.168.79.132","192.168.79.131","TCP","60","62409  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"43","4.072194100","192.168.79.132","192.168.79.131","TCP","60","62409  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"44","4.072311600","192.168.79.132","192.168.79.131","TCP","60","62409  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"45","4.072758900","192.168.79.132","192.168.79.131","TCP","60","62409  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"46","4.072758900","192.168.79.132","192.168.79.131","TCP","60","62409  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"47","4.072758900","192.168.79.132","192.168.79.131","TCP","60","62409  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"48","4.169159200","192.168.79.132","192.168.79.131","TCP","60","62407  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","4.171476900","192.168.79.132","192.168.79.131","TCP","60","62407  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"50","4.171476900","192.168.79.132","192.168.79.131","TCP","60","62407  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","4.171476900","192.168.79.132","192.168.79.131","TCP","60","62407  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"52","4.174087800","192.168.79.132","192.168.79.131","TCP","60","62407  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"53","4.174649300","192.168.79.132","192.168.79.131","TCP","60","62407  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"54","4.174649300","192.168.79.132","192.168.79.131","TCP","60","62407  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"55","4.174649300","192.168.79.132","192.168.79.131","TCP","60","62407  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"56","4.174649300","192.168.79.132","192.168.79.131","TCP","60","62407  >  902 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"57","4.174649300","192.168.79.132","192.168.79.131","TCP","60","62407  >  2021 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"58","4.268529900","192.168.79.132","192.168.79.131","TCP","60","62409  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"59","4.271582300","192.168.79.132","192.168.79.131","TCP","60","62409  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"60","4.271582300","192.168.79.132","192.168.79.131","TCP","60","62409  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"61","4.273728100","192.168.79.132","192.168.79.131","TCP","60","62409  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"62","4.276263400","192.168.79.132","192.168.79.131","TCP","60","62409  >  2021 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"63","4.276263400","192.168.79.132","192.168.79.131","TCP","60","62409  >  902 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"64","4.276263400","192.168.79.132","192.168.79.131","TCP","60","62409  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"65","4.276783100","192.168.79.132","192.168.79.131","TCP","60","62409  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"66","4.277036200","192.168.79.132","192.168.79.131","TCP","60","62409  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"67","4.277036200","192.168.79.132","192.168.79.131","TCP","60","62409  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"68","4.368888200","192.168.79.132","192.168.79.131","TCP","60","62407  >  3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"69","4.371822400","192.168.79.132","192.168.79.131","TCP","60","62407  >  48080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"70","4.371822400","192.168.79.132","192.168.79.131","TCP","60","62407  >  5903 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"71","4.374130200","192.168.79.132","192.168.79.131","TCP","60","62407  >  667 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"72","4.376358700","192.168.79.132","192.168.79.131","TCP","60","62407  >  5061 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"73","4.376358700","192.168.79.132","192.168.79.131","TCP","60","62407  >  1052 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"74","4.378786500","192.168.79.132","192.168.79.131","TCP","60","62407  >  49999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"75","4.378786500","192.168.79.132","192.168.79.131","TCP","60","62407  >  1840 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"76","4.378786500","192.168.79.132","192.168.79.131","TCP","60","62407  >  45100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"77","4.378931500","192.168.79.132","192.168.79.131","TCP","60","62407  >  3300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"78","4.469650500","192.168.79.132","192.168.79.131","TCP","60","62409  >  3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"79","4.472782800","192.168.79.132","192.168.79.131","TCP","60","62409  >  5903 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"80","4.472782800","192.168.79.132","192.168.79.131","TCP","60","62409  >  48080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"81","4.475683100","192.168.79.132","192.168.79.131","TCP","60","62409  >  667 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"82","4.478339300","192.168.79.132","192.168.79.131","TCP","60","62409  >  1052 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"83","4.478339300","192.168.79.132","192.168.79.131","TCP","60","62409  >  5061 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"84","4.480929900","192.168.79.132","192.168.79.131","TCP","60","62409  >  3300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"85","4.480929900","192.168.79.132","192.168.79.131","TCP","60","62409  >  45100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"86","4.480929900","192.168.79.132","192.168.79.131","TCP","60","62409  >  1840 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"87","4.480929900","192.168.79.132","192.168.79.131","TCP","60","62409  >  49999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"88","4.569939000","192.168.79.132","192.168.79.131","TCP","60","62407  >  2100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"89","4.572872900","192.168.79.132","192.168.79.131","TCP","60","62407  >  23502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"90","4.575457500","192.168.79.132","192.168.79.131","TCP","60","62407  >  50800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"91","4.577997300","192.168.79.132","192.168.79.131","TCP","60","62407  >  19780 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"92","4.580776400","192.168.79.132","192.168.79.131","TCP","60","62407  >  2366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"93","4.580776400","192.168.79.132","192.168.79.131","TCP","60","62407  >  5432 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"94","4.583169100","192.168.79.132","192.168.79.131","TCP","60","62407  >  2399 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","4.583169100","192.168.79.132","192.168.79.131","TCP","60","62407  >  8002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"96","4.583169100","192.168.79.132","192.168.79.131","TCP","60","62407  >  691 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"97","4.583169100","192.168.79.132","192.168.79.131","TCP","60","62407  >  161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"98","4.670035500","192.168.79.132","192.168.79.131","TCP","60","62409  >  2100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","4.673067800","192.168.79.132","192.168.79.131","TCP","60","62409  >  23502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","4.675422000","192.168.79.132","192.168.79.131","TCP","60","62409  >  50800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"101","4.677939800","192.168.79.132","192.168.79.131","TCP","60","62409  >  19780 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"102","4.680440300","192.168.79.132","192.168.79.131","TCP","60","62409  >  2366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"103","4.682747000","192.168.79.132","192.168.79.131","TCP","60","62409  >  5432 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"104","4.685214100","192.168.79.132","192.168.79.131","TCP","60","62409  >  161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"105","4.685214100","192.168.79.132","192.168.79.131","TCP","60","62409  >  691 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"106","4.685529200","192.168.79.132","192.168.79.131","TCP","60","62409  >  8002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"107","4.685529200","192.168.79.132","192.168.79.131","TCP","60","62409  >  2399 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"108","4.771055200","192.168.79.132","192.168.79.131","TCP","60","62407  >  26214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"109","4.773882600","192.168.79.132","192.168.79.131","TCP","60","62407  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"110","4.776561700","192.168.79.132","192.168.79.131","TCP","60","62407  >  42510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"111","4.779309500","192.168.79.132","192.168.79.131","TCP","60","62407  >  32775 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"112","4.781840200","192.168.79.132","192.168.79.131","TCP","60","62407  >  8007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"113","4.784568600","192.168.79.132","192.168.79.131","TCP","60","62407  >  1090 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"114","4.787763600","192.168.79.132","192.168.79.131","TCP","60","62407  >  4 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"115","4.787763600","192.168.79.132","192.168.79.131","TCP","60","62407  >  8649 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"116","4.787763600","192.168.79.132","192.168.79.131","TCP","60","62407  >  10004 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"117","4.787763600","192.168.79.132","192.168.79.131","TCP","60","62407  >  16992 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"118","4.871170100","192.168.79.132","192.168.79.131","TCP","60","62409  >  26214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"119","4.873899000","192.168.79.132","192.168.79.131","TCP","60","62409  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"120","4.876988600","192.168.79.132","192.168.79.131","TCP","60","62409  >  42510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"121","4.879314000","192.168.79.132","192.168.79.131","TCP","60","62409  >  32775 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"122","4.881671800","192.168.79.132","192.168.79.131","TCP","60","62409  >  8007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"123","4.884302000","192.168.79.132","192.168.79.131","TCP","60","62409  >  1090 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"124","4.887733300","192.168.79.132","192.168.79.131","TCP","60","62409  >  10004 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"125","4.887733300","192.168.79.132","192.168.79.131","TCP","60","62409  >  8649 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
