"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.79.131","192.168.79.254","DHCP","358","DHCP Request  - Transaction ID 0xafb8a029"
"2","0.001069","192.168.79.254","192.168.79.131","DHCP","342","DHCP ACK      - Transaction ID 0xafb8a029"
"3","0.016195","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"4","0.034820","fe80::5369:acaa:70e:43fe","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"5","0.035735","192.168.79.131","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"6","0.053762","fe80::5369:acaa:70e:43fe","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"7","0.055019","192.168.79.131","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"8","0.056995","fe80::5369:acaa:70e:43fe","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","0.057111","192.168.79.131","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"10","0.058899","fe80::5369:acaa:70e:43fe","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","0.059373","192.168.79.131","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"12","0.074641","192.168.79.131","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-5S7AV1H.local, ""QM"" question"
"13","0.075159","fe80::5369:acaa:70e:43fe","ff02::fb","MDNS","101","Standard query 0x0000 ANY DESKTOP-5S7AV1H.local, ""QM"" question"
"14","0.076268","192.168.79.131","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::5369:acaa:70e:43fe A 192.168.79.131"
"15","0.077224","fe80::5369:acaa:70e:43fe","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::5369:acaa:70e:43fe A 192.168.79.131"
"16","0.079346","fe80::5369:acaa:70e:43fe","ff02::1:3","LLMNR","95","Standard query 0x95d3 ANY DESKTOP-5S7AV1H"
"17","0.079639","192.168.79.131","224.0.0.252","LLMNR","75","Standard query 0x95d3 ANY DESKTOP-5S7AV1H"
"18","0.227662","192.168.79.131","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"19","0.227797","fe80::5369:acaa:70e:43fe","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"20","1.509297","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"21","3.010085","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"22","3.340168","192.168.79.132","192.168.79.131","TCP","60","1530  >  80 [SYN] Seq=0 Win=512 Len=0"
"23","3.341135","192.168.79.132","192.168.79.131","TCP","60","1531  >  80 [SYN] Seq=0 Win=512 Len=0"
"24","3.342616","192.168.79.132","192.168.79.131","TCP","60","1532  >  80 [SYN] Seq=0 Win=512 Len=0"
"25","3.343842","192.168.79.132","192.168.79.131","TCP","60","1533  >  80 [SYN] Seq=0 Win=512 Len=0"
"26","3.345248","192.168.79.132","192.168.79.131","TCP","60","1534  >  80 [SYN] Seq=0 Win=512 Len=0"
"27","3.346772","192.168.79.132","192.168.79.131","TCP","60","1535  >  80 [SYN] Seq=0 Win=512 Len=0"
"28","3.348051","192.168.79.132","192.168.79.131","TCP","60","1536  >  80 [SYN] Seq=0 Win=512 Len=0"
"29","3.349476","192.168.79.132","192.168.79.131","TCP","60","1537  >  80 [SYN] Seq=0 Win=512 Len=0"
"30","3.350762","192.168.79.132","192.168.79.131","TCP","60","1538  >  80 [SYN] Seq=0 Win=512 Len=0"
"31","3.352638","192.168.79.132","192.168.79.131","TCP","60","1539  >  80 [SYN] Seq=0 Win=512 Len=0"
