"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"2","1.148640000","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"3","1.252857300","192.168.79.132","192.168.79.131","TCP","60","2941  >  80 [SYN] Seq=0 Win=512 Len=0"
"4","1.986377800","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"5","2.253296500","192.168.79.132","192.168.79.131","TCP","60","2942  >  80 [SYN] Seq=0 Win=512 Len=0"
"6","2.985135400","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"7","3.253901400","192.168.79.132","192.168.79.131","TCP","60","2943  >  80 [SYN] Seq=0 Win=512 Len=0"
"8","4.254309100","192.168.79.132","192.168.79.131","TCP","60","2944  >  80 [SYN] Seq=0 Win=512 Len=0"
"9","5.254777000","192.168.79.132","192.168.79.131","TCP","60","2945  >  80 [SYN] Seq=0 Win=512 Len=0"
"10","5.265518100","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"11","6.255605400","192.168.79.132","192.168.79.131","TCP","60","2946  >  80 [SYN] Seq=0 Win=512 Len=0"
"12","6.301060100","VMware_5f:8b:76","VMware_db:f6:09","ARP","60","Who has 192.168.79.131? Tell 192.168.79.132"
"13","6.301245000","VMware_db:f6:09","VMware_5f:8b:76","ARP","42","192.168.79.131 is at 00:0c:29:db:f6:09"
"14","6.781389600","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"15","8.281623500","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"16","8.685087600","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"17","9.490512000","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"18","10.187874800","VMware_db:f6:09","VMware_e2:1c:97","ARP","42","Who has 192.168.79.2? Tell 192.168.79.131"
"19","10.189485400","VMware_e2:1c:97","VMware_db:f6:09","ARP","60","192.168.79.2 is at 00:50:56:e2:1c:97"
"20","10.485963900","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
"21","11.695438900","VMware_c0:00:08","Broadcast","ARP","60","Who has 192.168.79.2? Tell 192.168.79.1"
